Registered Participant ,Fee or market charge,State,Rate,Units,Comments,Source
Market Customer,AEMO General Fees unallocated,QLD1,-0.17434,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO General Fees unallocated,SA1,-0.17434,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO General Fees unallocated,TAS1,-0.17434,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO General Fees unallocated,VIC1,-0.17434,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO Allocated Fees,NSW1,-0.10821,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO Allocated Fees,QLD1,-0.10821,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO Allocated Fees,SA1,-0.10821,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO Allocated Fees,TAS1,-0.10821,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Customer,AEMO Allocated Fees,VIC1,-0.10821,$/MWh,Based on AEMO reported fees,https://aemo.com.au/-/media/files/about_aemo/energy_market_budget_and_fees/2023/draft-fy24-budget-and-fees_final-for-consultation.pdf?la=en
Market Generator,AEMO Allocated Fees daily,NSW1,-1.65488212,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis. Excludes non-market/non-schedule generators,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Allocated Fees daily,QLD1,-1.65488212,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis. Excludes non-market/non-schedule generators,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Allocated Fees daily,SA1,-1.65488212,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis. Excludes non-market/non-schedule generators,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Allocated Fees daily,TAS1,-1.65488212,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis. Excludes non-market/non-schedule generators,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Allocated Fees daily,VIC1,-1.65488212,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis. Excludes non-market/non-schedule generators,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Participant Compensation Fund,NSW1,,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Participant Compensation Fund,QLD1,,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Participant Compensation Fund,SA1,,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Participant Compensation Fund,TAS1,,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
Market Generator,AEMO Participant Compensation Fund,VIC1,,Daily Rate @ 1 MW,Example 1 MW battery assumed always enabled in FCAS. Note that 50% Daily rate based on max energy or FCAS capacity. 50% charged based on energy/enablement basis,https://aemo.com.au/-/media/files/stakeholder_consultation/consultations/nem-consultations/2020/electricity-market-participant-fee-structure-review/final-report/aemo-electricity-fee-structure-final-report-and-determination-260321.pdf?la=en
